qid,agent,answer,target_repr,sampling_strategy,n_similar_examples,cover_operators,prompt_version,nr_actual_examples
041477,question,Who wears shorts?,-,-,,-,-,
041477,answer,man,-,-,,-,-,
041477,asp,man,-,-,,-,-,
041477,asp_question,"scene(0).
select(1, 0, shorts).
relate(2, 1, person, wearing, subject).
unique(3, 2).
query(4, 3, name).
end(4).",-,-,,-,-,
041477,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'shorts (3576178)'}, {'operation': 'relate', 'dependencies': [0], 'argument': 'person,wearing,s (2449847)'}, {'operation': 'query', 'dependencies': [1], 'argument': 'name'}]",-,-,,-,-,
041477,gqa,man,-,-,,-,-,
041438,question,Is the logo different in color than the roof?,-,-,,-,-,
041438,answer,yes,-,-,,-,-,
041438,asp,yes,-,-,,-,-,
041438,asp_question,"scene(0).
select(1, 0, logo).
scene(2).
select(3, 2, roof).
unique(4, 1).
unique(5, 3).
two_different(6, 4, 5, color).
end(6).",-,-,,-,-,
041438,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'logo (2237917)'}, {'operation': 'select', 'dependencies': [], 'argument': 'roof (2493560) '}, {'operation': 'different color', 'dependencies': [0, 1], 'argument': ''}]",-,-,,-,-,
041438,gqa,yes,-,-,,-,-,
041529,question,Are there both fences and frisbees in the picture?,-,-,,-,-,
041529,answer,no,-,-,,-,-,
041529,asp,no,-,-,,-,-,
041529,asp_question,"scene(0).
select(1, 0, frisbee).
exist(2, 1).
scene(3).
select(4, 3, fence).
exist(5, 4).
and(6, 2, 5).
end(6).",-,-,,-,-,
041529,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'frisbee (1902903)'}, {'operation': 'exist', 'dependencies': [0], 'argument': '?'}, {'operation': 'select', 'dependencies': [], 'argument': 'fence (-) '}, {'operation': 'exist', 'dependencies': [2], 'argument': '?'}, {'operation': 'and', 'dependencies': [1, 3], 'argument': ''}]",-,-,,-,-,
041529,gqa,no,-,-,,-,-,
041480,question,Does the man to the right of the frisbee wear glasses?,-,-,,-,-,
041480,answer,no,-,-,,-,-,
041480,asp,no,-,-,,-,-,
041480,asp_question,"scene(0).
select(1, 0, frisbee).
relate(2, 1, man, to_the_right_of, subject).
unique(3, 2).
verify_rel(4, 3, glasses, wearing, object).
end(4).",-,-,,-,-,
041480,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'frisbee (1902903)'}, {'operation': 'relate', 'dependencies': [0], 'argument': 'man,to the right of,s (2449847)'}, {'operation': 'verify rel', 'dependencies': [1], 'argument': 'glasses,wearing,o (-)'}]",-,-,,-,-,
041480,gqa,no,-,-,,-,-,
142457,question,"On which side is the shelf, the right or the left?",-,-,,-,-,
142457,answer,left,-,-,,-,-,
142457,asp,left,-,-,,-,-,
142457,asp_question,"scene(0).
select(1, 0, shelf).
unique(2, 1).
choose_attr(3, 2, hposition, left, right).
end(3).",-,-,,-,-,
142457,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'shelf (3135456)'}, {'operation': 'choose hposition', 'dependencies': [0], 'argument': 'left|right'}]",-,-,,-,-,
142457,gqa,left,-,-,,-,-,
142512,question,Are there black bikes or skateboards?,-,-,,-,-,
142512,answer,no,-,-,,-,-,
142512,asp,no,-,-,,-,-,
142512,asp_question,"scene(0).
select(1, 0, bike).
filter(2, 1, color, black).
exist(3, 2).
scene(4).
select(5, 4, skateboard).
filter(6, 5, color, black).
exist(7, 6).
or(8, 3, 7).
end(8).",-,-,,-,-,
142512,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'bike (2785049)'}, {'operation': 'filter color', 'dependencies': [0], 'argument': 'black'}, {'operation': 'exist', 'dependencies': [1], 'argument': '?'}, {'operation': 'select', 'dependencies': [], 'argument': 'skateboard (-) '}, {'operation': 'filter color', 'dependencies': [3], 'argument': 'black'}, {'operation': 'exist', 'dependencies': [4], 'argument': '?'}, {'operation': 'or', 'dependencies': [2, 5], 'argument': ''}]",-,-,,-,-,
142512,gqa,no,-,-,,-,-,
122286,question,Is the man in the train car reading a newspaper?,-,-,,-,-,
122286,answer,no,-,-,,-,-,
122286,asp,no,-,-,,-,-,
122286,asp_question,"scene(0).
select(1, 0, train_car).
relate(2, 1, man, in, subject).
unique(3, 2).
verify_rel(4, 3, newspaper, reading, object).
end(4).",-,-,,-,-,
122286,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'train car (227261)'}, {'operation': 'relate', 'dependencies': [0], 'argument': 'man,in,s (227256)'}, {'operation': 'verify rel', 'dependencies': [1], 'argument': 'newspaper,reading,o (-)'}]",-,-,,-,-,
122286,gqa,no,-,-,,-,-,
122371,question,Which side of the photo is the lock on?,-,-,,-,-,
122371,answer,left,-,-,,-,-,
122371,asp,left,-,-,,-,-,
