qid,agent,answer,target_repr,sampling_strategy,n_similar_examples,cover_operators,prompt_version,nr_actual_examples
041477,question,Who wears shorts?,-,-,,-,-,
041477,answer,man,-,-,,-,-,
041477,asp,man,-,-,,-,-,
041477,asp_question,"scene(0).
select(1, 0, shorts).
relate(2, 1, person, wearing, subject).
unique(3, 2).
query(4, 3, name).
end(4).",-,-,,-,-,
041477,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'shorts (3576178)'}, {'operation': 'relate', 'dependencies': [0], 'argument': 'person,wearing,s (2449847)'}, {'operation': 'query', 'dependencies': [1], 'argument': 'name'}]",-,-,,-,-,
041477,gqa,man,-,-,,-,-,
041477,zephyr7B_raw,"query(unique(relate(select(scene(), shorts), person, wearing, subject)), name)",asp_nested,bert,10.0,True,v1,17.0
041477,zephyr7B,man,asp_nested,bert,10.0,True,v1,17.0
041438,question,Is the logo different in color than the roof?,-,-,,-,-,
041438,answer,yes,-,-,,-,-,
041438,asp,yes,-,-,,-,-,
041438,asp_question,"scene(0).
select(1, 0, logo).
scene(2).
select(3, 2, roof).
unique(4, 1).
unique(5, 3).
two_different(6, 4, 5, color).
end(6).",-,-,,-,-,
041438,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'logo (2237917)'}, {'operation': 'select', 'dependencies': [], 'argument': 'roof (2493560) '}, {'operation': 'different color', 'dependencies': [0, 1], 'argument': ''}]",-,-,,-,-,
041438,gqa,yes,-,-,,-,-,
041438,zephyr7B_raw,"two_different(unique(select(scene(), logo)), unique(select(scene(), roof)), color)",asp_nested,bert,10.0,True,v1,16.0
041438,zephyr7B,yes,asp_nested,bert,10.0,True,v1,16.0
041529,question,Are there both fences and frisbees in the picture?,-,-,,-,-,
041529,answer,no,-,-,,-,-,
041529,asp,no,-,-,,-,-,
041529,asp_question,"scene(0).
select(1, 0, frisbee).
exist(2, 1).
scene(3).
select(4, 3, fence).
exist(5, 4).
and(6, 2, 5).
end(6).",-,-,,-,-,
041529,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'frisbee (1902903)'}, {'operation': 'exist', 'dependencies': [0], 'argument': '?'}, {'operation': 'select', 'dependencies': [], 'argument': 'fence (-) '}, {'operation': 'exist', 'dependencies': [2], 'argument': '?'}, {'operation': 'and', 'dependencies': [1, 3], 'argument': ''}]",-,-,,-,-,
041529,gqa,no,-,-,,-,-,
041529,zephyr7B_raw,"and(exist(select(scene(), fence)), exist(select(scene(), frisbee)))",asp_nested,bert,10.0,True,v1,18.0
041529,zephyr7B,no,asp_nested,bert,10.0,True,v1,18.0
041480,question,Does the man to the right of the frisbee wear glasses?,-,-,,-,-,
041480,answer,no,-,-,,-,-,
041480,asp,no,-,-,,-,-,
041480,asp_question,"scene(0).
select(1, 0, frisbee).
relate(2, 1, man, to_the_right_of, subject).
unique(3, 2).
verify_rel(4, 3, glasses, wearing, object).
end(4).",-,-,,-,-,
041480,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'frisbee (1902903)'}, {'operation': 'relate', 'dependencies': [0], 'argument': 'man,to the right of,s (2449847)'}, {'operation': 'verify rel', 'dependencies': [1], 'argument': 'glasses,wearing,o (-)'}]",-,-,,-,-,
041480,gqa,no,-,-,,-,-,
041480,zephyr7B_raw,"verify_rel(unique(relate(select(scene(), frisbee), man, to_the_right_of, subject)), glasses, wearing, object)",asp_nested,bert,10.0,True,v1,15.0
041480,zephyr7B,no,asp_nested,bert,10.0,True,v1,15.0
041544,question,What color is the frisbee?,-,-,,-,-,
041544,answer,yellow,-,-,,-,-,
041544,asp,error,-,-,,-,-,
041544,asp_question,"scene(0).
select(1, 0, frisbee).
unique(2, 1).
query(3, 2, color).
end(3).",-,-,,-,-,
041544,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'frisbee (1902903)'}, {'operation': 'query', 'dependencies': [0], 'argument': 'color'}]",-,-,,-,-,
041544,gqa,yellow,-,-,,-,-,
041499,question,The shorts have what color?,-,-,,-,-,
041499,answer,gray,-,-,,-,-,
041499,asp,error,-,-,,-,-,
041499,asp_question,"scene(0).
select(1, 0, shorts).
unique(2, 1).
query(3, 2, color).
end(3).",-,-,,-,-,
041499,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'shorts (3576178)'}, {'operation': 'query', 'dependencies': [0], 'argument': 'color'}]",-,-,,-,-,
041499,gqa,gray,-,-,,-,-,
142457,question,"On which side is the shelf, the right or the left?",-,-,,-,-,
142457,answer,left,-,-,,-,-,
142457,asp,left,-,-,,-,-,
142457,asp_question,"scene(0).
select(1, 0, shelf).
unique(2, 1).
choose_attr(3, 2, hposition, left, right).
end(3).",-,-,,-,-,
142457,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'shelf (3135456)'}, {'operation': 'choose hposition', 'dependencies': [0], 'argument': 'left|right'}]",-,-,,-,-,
