qid,agent,answer,target_repr,sampling_strategy,n_similar_examples,cover_operators,prompt_version,nr_actual_examples
122274,question,Is there a door that is not open?,-,-,,-,-,
122274,answer,no,-,-,,-,-,
122274,asp,no,-,-,,-,-,
122274,asp_question,"scene(0).
select(1, 0, door).
filter_any(2, 1, open).
negate(3, 2, 1).
exist(4, 3).
end(4).",-,-,,-,-,
122274,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'door (227260)'}, {'operation': 'filter', 'dependencies': [0], 'argument': 'not(open)'}, {'operation': 'exist', 'dependencies': [1], 'argument': '?'}]",-,-,,-,-,
122274,gqa,no,-,-,,-,-,
122274,zephyr7B_raw,"exist(negate(filter(select(scene(), door), open, select(scene(), door))))",asp_nested,bert,10.0,False,v1,10.0
122274,zephyr7B,no,asp_nested,bert,10.0,False,v1,10.0
122464,question,Is the shirt striped and short sleeved?,-,-,,-,-,
122464,answer,no,-,-,,-,-,
122464,asp,no,-,-,,-,-,
122464,asp_question,"scene(0).
select(1, 0, shirt).
unique(2, 1).
verify_attr(3, 2, any, short_sleeved).
unique(4, 1).
verify_attr(5, 4, pattern, striped).
and(6, 3, 5).
end(6).",-,-,,-,-,
122464,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'shirt (227262)'}, {'operation': 'verify', 'dependencies': [0], 'argument': 'short sleeved'}, {'operation': 'verify pattern', 'dependencies': [0], 'argument': 'striped '}, {'operation': 'and', 'dependencies': [1, 2], 'argument': ''}]",-,-,,-,-,
122464,gqa,no,-,-,,-,-,
122464,zephyr7B_raw,"and(verify_attr(unique(filter(select(scene(), shirt), short_sleeved)), pattern, striped), verify_attr(unique(filter(select(scene(), shirt), short_sleeved)), color, white))",asp_nested,bert,10.0,False,v1,10.0
122464,zephyr7B,,asp_nested,bert,10.0,False,v1,10.0
0416338,question,Does the plate have square shape and white color?,-,-,,-,-,
0416338,answer,yes,-,-,,-,-,
0416338,asp,yes,-,-,,-,-,
0416338,asp_question,"scene(0).
select(1, 0, plate).
unique(2, 1).
verify_attr(3, 2, shape, square).
unique(4, 1).
verify_attr(5, 4, color, white).
and(6, 3, 5).
end(6).",-,-,,-,-,
0416338,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'plate (722604)'}, {'operation': 'verify shape', 'dependencies': [0], 'argument': 'square'}, {'operation': 'verify color', 'dependencies': [0], 'argument': 'white '}, {'operation': 'and', 'dependencies': [1, 2], 'argument': ''}]",-,-,,-,-,
0416338,gqa,yes,-,-,,-,-,
0416338,zephyr7B_raw,"and(verify_attr(unique(select(scene(), plate)), shape, square), verify_attr(unique(select(scene(), plate)), color, white))",asp_nested,bert,10.0,False,v1,10.0
0416338,zephyr7B,yes,asp_nested,bert,10.0,False,v1,10.0
0416235,question,Are there either tables or mirrors that are not black?,-,-,,-,-,
0416235,answer,no,-,-,,-,-,
0416235,asp,no,-,-,,-,-,
0416235,asp_question,"scene(0).
select(1, 0, table).
filter(2, 1, color, black).
negate(3, 2, 1).
exist(4, 3).
scene(5).
select(6, 5, mirror).
filter(7, 6, color, black).
negate(8, 7, 6).
exist(9, 8).
or(10, 4, 9).
end(10).",-,-,,-,-,
0416235,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'table (722606)'}, {'operation': 'filter color', 'dependencies': [0], 'argument': 'not(black)'}, {'operation': 'exist', 'dependencies': [1], 'argument': '?'}, {'operation': 'select', 'dependencies': [], 'argument': 'mirror (-) '}, {'operation': 'filter color', 'dependencies': [3], 'argument': 'not(black)'}, {'operation': 'exist', 'dependencies': [4], 'argument': '?'}, {'operation': 'or', 'dependencies': [2, 5], 'argument': ''}]",-,-,,-,-,
0416235,gqa,no,-,-,,-,-,
0416235,zephyr7B_raw,"or(exist(negate(filter(select(scene(), table), color, black), select(scene(), table))), exist(negate(filter(select(scene(), mirror), color, black), select(scene(), mirror))))",asp_nested,bert,10.0,False,v1,10.0
0416235,zephyr7B,no,asp_nested,bert,10.0,False,v1,10.0
10734853,question,Which kind of food is not burnt?,-,-,,-,-,
10734853,answer,sausage,-,-,,-,-,
10734853,asp,tomato,-,-,,-,-,
10734853,asp_question,"scene(0).
select(1, 0, food).
filter_any(2, 1, burnt).
negate(3, 2, 1).
unique(4, 3).
query(5, 4, name).
end(5).",-,-,,-,-,
10734853,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'food (922197)'}, {'operation': 'filter', 'dependencies': [0], 'argument': 'not(burnt)'}, {'operation': 'query', 'dependencies': [1], 'argument': 'name'}]",-,-,,-,-,
10734853,gqa,<class 'semantic_interpreter.known_exceptions.AmbiguousAnswerException'>,-,-,,-,-,
10734853,zephyr7B_raw,"query(unique(negate(filter_any(select(scene(), food), burnt), select(scene(), food))), name)",asp_nested,bert,10.0,False,v1,10.0
10734853,zephyr7B,tomato,asp_nested,bert,10.0,False,v1,10.0
10734851,question,"What kind of food is not burnt, the sausage or the bread?",-,-,,-,-,
10734851,answer,sausage,-,-,,-,-,
10734851,asp,sausage,-,-,,-,-,
10734851,asp_question,"scene(0).
select(1, 0, food).
filter_any(2, 1, burnt).
negate(3, 2, 1).
unique(4, 3).
choose_attr(5, 4, name, bread, sausage).
end(5).",-,-,,-,-,
10734851,gqa_question,"[{'operation': 'select', 'dependencies': [], 'argument': 'food (922197)'}, {'operation': 'filter', 'dependencies': [0], 'argument': 'not(burnt)'}, {'operation': 'choose name', 'dependencies': [1], 'argument': 'bread|sausage'}]",-,-,,-,-,
10734851,gqa,<class 'semantic_interpreter.known_exceptions.ManyAttrCandidatesException'>,-,-,,-,-,
